group,feature,definition,median_loss_function_change,positive_folds,selection_reason,selected,selection_rank,source
Target time,hour,"Target hour of day, 0–23.",0.003981585737,4,eligible,True,17,Round 1
Target time,day_of_week,"Target weekday, with Monday=0 and Sunday=6.",0,0,non_positive_median,False,,Round 1
Target time,hour_of_week,"`24 * day_of_week + hour`, giving values 0–167.",0,0,non_positive_median,False,,Round 1
Target time,month,"Target calendar month, 1–12.",0.4276625165,4,eligible,True,3,Round 1
Target time,is_weekend,"1 for a Saturday or Sunday target, otherwise 0.",-0.001471368508,1,non_positive_median,False,,Round 1
Target time,hour_sin,`sin(2π * hour / 24)`.,0,1,non_positive_median,False,,Round 1
Target time,hour_cos,`cos(2π * hour / 24)`.,0,0,non_positive_median,False,,Round 1
Target time,seasonal_day_sin,Sine of the target month/day position in a fixed 366-day leap year.,0.08478817277,4,eligible,True,8,Round 1
Target time,seasonal_day_cos,Cosine of the target month/day position in the same fixed leap year.,-0.01553428447,2,non_positive_median,False,,Round 1
Horizon,horizon_hours,Integer hours from the monthly origin to the target; the first hour is 0.,-0.00967116815,3,non_positive_median,False,,Round 1
Horizon,forecast_week,Zero-based seven-day horizon bucket: `floor(horizon_hours / 168)`.,-0.004293941654,2,non_positive_median,False,,Round 1
Holiday,holiday_name,"US federal holiday name for the target day, including observed dates; `none` otherwise.",0,0,non_positive_median,False,,New in round 2
Holiday,is_holiday,1 when the target day is a US federal holiday or its observed date.,0,0,non_positive_median,False,,New in round 2
Holiday,is_working_day,1 for Monday–Friday targets that are not federal holidays.,0,0,non_positive_median,False,,New in round 2
Holiday,is_day_before_holiday,1 when the following calendar day is a federal holiday.,0,0,non_positive_median,False,,New in round 2
Holiday,is_day_after_holiday,1 when the preceding calendar day is a federal holiday.,0,2,non_positive_median,False,,New in round 2
Holiday,is_year_end_holiday_period,1 from December 24–31 or January 1–2.,6.748440904e-06,3,insufficient_positive_folds,False,,New in round 2
Recent load,load_mean_7d,Mean hourly load over the complete 7 days before the origin.,-0.01347793745,2,non_positive_median,False,,Round 1
Recent load,load_mean_28d,Mean hourly load over the complete 28 days before the origin.,-0.021670228,2,non_positive_median,False,,Round 1
Recent load,load_mean_90d,Mean hourly load over the complete 90 days before the origin.,-0.0226397305,2,non_positive_median,False,,New in round 2
Recent load,load_mean_365d,Mean hourly load over the complete 365 days before the origin.,0.001836445871,3,insufficient_positive_folds,False,,Round 1
Recent load,load_std_28d,Population standard deviation of hourly load over the complete 28 days before the origin.,0.0009454192796,3,insufficient_positive_folds,False,,Round 1
Recent load,load_mean_7d_minus_28d,"`load_mean_7d - load_mean_28d`, measuring very-recent level change.",-0.01065906762,2,non_positive_median,False,,Round 1
Recent load,load_mean_28d_minus_90d,"`load_mean_28d - load_mean_90d`, measuring medium-term level change.",-0.08951181527,2,non_positive_median,False,,New in round 2
Recent load,load_daily_slope_28d,OLS slope in MW/day through the 28 pre-origin daily mean loads.,-0.005059402776,2,non_positive_median,False,,Round 1
Recent load,load_yoy_ratio_28d,Recent 28-day mean divided by the corresponding 28-day mean one calendar year earlier.,-0.05396942447,2,non_positive_median,False,,Round 1
Recent load,load_yoy_ratio_365d,Recent 365-day mean divided by the preceding calendar-aligned 365-day mean.,0.089486223,4,eligible,True,7,Round 1
Recent profile,load_last_day_same_hour,Load at the target hour of day in the final complete day before the origin.,0.01683490274,3,insufficient_positive_folds,False,,Round 1
Recent profile,load_last_same_hour_of_week,Most recent pre-origin load with the target weekday and hour.,0,2,non_positive_median,False,,Round 1
Recent profile,load_how_mean_4w,Mean load for the target hour of week over the final 4 complete weeks.,-0.001837702805,2,non_positive_median,False,,Round 1
Recent profile,load_how_mean_12w,Mean load for the target hour of week over the final 12 complete weeks.,0,0,non_positive_median,False,,Round 1
Recent profile,load_how_std_12w,Population standard deviation for the target hour of week over the final 12 complete weeks.,0,1,non_positive_median,False,,Round 1
Seasonal load,load_seasonal_daytype_8d_q10,10th percentile of prior-cycle loads matching target hour and weekday/weekend type within ±8 calendar days.,-0.007173068236,3,non_positive_median,False,,Round 1
Seasonal load,load_seasonal_daytype_8d_q25,25th percentile of the same ±8-day day-type analogue pool.,0.02873952419,4,eligible,True,11,New in round 2
Seasonal load,load_seasonal_daytype_8d_q50,Median of the same ±8-day day-type analogue pool.,0.04375468669,3,insufficient_positive_folds,False,,Round 1
Seasonal load,load_seasonal_daytype_8d_q75,75th percentile of the same ±8-day day-type analogue pool.,0.09784270976,4,eligible,True,6,New in round 2
Seasonal load,load_seasonal_daytype_8d_q90,90th percentile of the same ±8-day day-type analogue pool.,0.2171196067,4,eligible,True,4,Round 1
Seasonal load,load_seasonal_daytype_8d_count,Number of observations in the ±8-day day-type analogue pool.,0.002293925944,3,insufficient_positive_folds,False,,Round 1
Seasonal load,load_seasonal_how_15d_mean,Mean prior-cycle load matching exact target weekday and hour within ±15 calendar days.,0.5117077727,6,eligible,True,2,Round 1
Seasonal load,load_seasonal_how_15d_std,Population standard deviation in the exact-weekday/hour ±15-day analogue pool.,0.01174384579,5,eligible,True,13,Round 1
Seasonal load,load_seasonal_how_15d_count,Number of observations in the exact-weekday/hour ±15-day analogue pool.,0.1835946834,4,eligible,True,5,Round 1
Seasonal load,load_seasonal_how_30d_mean,Mean prior-cycle load matching exact target weekday and hour within ±30 calendar days.,1.148312447,6,eligible,True,1,New in round 2
Seasonal load,load_seasonal_how_30d_std,Population standard deviation in the exact-weekday/hour ±30-day analogue pool.,0.00847158666,4,eligible,True,15,New in round 2
Level adjustment,load_seasonal_level_ratio_28d,Observed 28-day mean divided by the mean historical seasonal median estimated for those pre-origin hours.,-0.01299401437,1,non_positive_median,False,,Round 1
